中文名称,英文名称
水杨酸乙酯(又名柳酸乙酯),Ethyl salicylate
水杨酸异戊酯(又名柳酸异戊酯),Isoamyl salicylate
十四酸乙酯(又名肉豆蔻酸乙酯),Ethyl tetradecanoate (Ethyl myristate)
油酸乙酯,Ethyl oleate
棕榈酸乙酯,Ethyl palmitate
二氢茉莉酮酸甲酯,Methyl dihydrojasmonate
椰子油混合酸乙酯,Ethyl ester of coconut oil mixed acid
柠檬酸三乙酯,Triethyl citrate
甲酸大茴香酯,Anisyl formate
甲酸顺式-3-己烯酯(又名甲酸叶醇酯),cis-3-Hexenyl formate (Leaf formate)
乙酸2-甲基丁酯,2-Methylbutyl acetate
乙酸3-苯丙酯,3-Phenylpropyl acetate
乙酸丁香酯,Eugenyl acetate
4,5-二甲基-2-异丁基-3-噻唑啉,4,5-Dimethyl -2-isobutyl-3-thiazoline
乙酸异胡薄荷酯,Isopulegyl acetate
乙酸1,3,3-三甲基-2-降龙脑酯,1,3,3-Trimethyl-2-norbornanyl acetate
丙酸甲酯,Methyl propionate
丙烯酸乙酯,Ethyl acrylate
乳酸顺式-3-己烯酯(又名乳酸叶醇酯),cis-3-Hexenyl lactate (Leaf lactate)
丙酸癸酯,Decyl propionate
反式-2-丁烯酸乙酯,Ethyl trans-2-butenoate
丁酸丙酯,Propyl butyrate
异丁酸异丙酯,Isopropyl isobutyrate
2-甲基丁酸异丙酯,Isopropyl 2-methylbutyrate
异丁酸己酯,Hexyl isobutyrate
丁酸庚酯,Heptyl butyrate
异丁酸辛酯,Octyl isobutyrate
异丁酸-3-苯丙酯,3-Phenylpropyl isobutyrate
丁酸香茅酯,Citronellyl butyrate
丁酸肉桂酯,Cinnamyl butyrate
异戊酸甲酯,Methyl isovalerate
异戊酸异丁酯,Isobutyl isovalerate
异戊酸2-甲基丁酯,2-Methylbutyl isovalerate
异戊酸苄酯,Benzyl isovalerate
2-戊基吡啶,2-Pentylpyridine
异戊酸肉桂酯,Cinnamyl isovalerate
异戊酸薄荷酯,Menthyl isovalerate
3-己烯酸甲酯,Methyl 3-hexenoate
正己酸异丁酯,Isobutyl caproate
己酸烯丙酯,Allyl hexanoate
